Product ID,Price,Competitor Prices,Discounts,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost,Elasticity Index
7519,55.71,9.49,13.66,424,2,14.39,2.52,1.17
9482,75.8,58.65,22.42,515,2,3.91,3.92,1.33
2048,62.45,57.31,30.81,607,1,11.25,7.45,2.08
3545,65.24,58.93,23.81,536,1,12.58,6.85,1.93
6288,55.43,87.73,31.62,718,4,7.49,9.62,1.18
6520,85.84,13.48,43.12,662,4,6.1,8.41,0.54
3870,85.07,74.04,46.61,758,3,14.29,3.25,1.05
6504,47.24,84.85,12.53,555,2,9.39,4.06,1.31
5655,73.29,53.14,11.0,359,1,10.17,5.45,2.29
5489,75.67,13.1,35.27,561,3,15.59,9.12,1.87
6606,96.65,49.84,5.31,272,2,19.66,5.56,1.25
3504,64.96,22.62,27.45,509,1,11.24,7.53,1.95
2823,81.95,60.08,2.11,259,4,4.07,9.69,1.9
7536,60.49,11.15,28.67,522,4,0.35,1.38,2.07
1392,51.02,29.15,26.47,540,2,6.72,3.43,2.08
4208,85.91,51.65,33.65,642,2,14.15,6.44,0.64
5704,38.1,62.69,9.66,526,3,10.26,7.33,0.73
3913,14.29,37.02,4.91,503,3,10.42,2.68,1.22
4031,86.89,20.23,16.35,360,3,6.18,1.55,1.77
3226,50.65,15.18,8.15,360,2,17.85,4.65,1.95
8856,62.0,32.27,13.79,437,2,14.26,1.44,1.29
1248,74.83,17.01,30.49,482,3,6.29,7.84,2.28
7667,76.05,76.59,22.3,472,1,2.48,3.29,2.47
9299,11.97,86.19,39.03,875,1,11.53,2.52,2.32
9379,55.43,26.25,4.6,323,4,11.29,8.38,2.22
3312,21.99,99.72,30.67,809,3,18.41,5.56,1.53
9188,90.29,63.59,42.0,649,1,7.22,4.39,1.68
2679,30.18,56.55,49.45,863,2,3.32,6.75,2.02
6095,78.83,50.07,13.52,409,3,0.59,6.83,1.1
9792,84.97,45.12,37.72,652,2,4.87,6.14,0.72
1150,43.68,69.37,17.86,600,3,2.78,1.49,1.34
6273,41.25,90.02,41.48,899,1,17.71,7.09,0.66
3351,34.37,60.17,23.0,690,2,2.06,1.98,0.59
7654,27.35,84.46,16.04,631,3,3.05,9.26,1.39
5512,46.78,66.57,44.84,866,2,18.5,6.49,0.72
5457,7.66,89.45,6.94,657,3,16.59,6.78,0.75
2511,9.17,24.54,40.41,798,2,3.56,7.47,2.34
4716,76.51,50.43,26.4,531,4,17.23,2.07,1.15
3305,10.81,77.38,39.73,870,1,13.32,5.85,2.07
9347,41.86,26.84,35.0,696,2,16.92,4.89,1.2
7673,23.04,69.61,32.87,798,4,3.92,7.55,1.21
6336,68.78,79.18,28.98,612,2,14.18,6.61,1.9
9386,17.01,68.19,21.36,657,4,3.27,3.71,2.12
7304,15.25,69.87,15.89,682,3,4.45,6.1,0.7
4881,61.19,28.99,21.03,481,1,0.64,6.91,2.04
6739,89.01,98.97,44.05,771,4,3.07,8.87,0.87
1844,89.7,19.36,36.66,534,3,18.58,8.57,2.21
3797,68.49,96.99,40.13,777,3,3.18,4.79,1.14
7626,34.75,51.18,16.52,612,4,9.41,9.08,0.53
6887,84.27,39.32,0.06,190,1,4.61,8.58,2.27
3364,12.31,27.02,8.2,545,2,16.76,6.29,0.82
4359,41.41,56.26,26.4,617,4,1.92,4.78,2.23
8341,59.59,22.03,10.34,383,3,0.87,9.13,1.58
4292,29.5,16.48,18.77,550,3,8.24,1.16,1.32
1378,71.9,71.81,41.92,733,2,13.1,7.04,1.32
3061,70.7,98.65,14.76,511,4,3.78,4.46,1.95
4608,45.21,76.19,22.74,618,1,14.91,2.79,1.65
4043,40.55,68.82,6.18,486,4,0.69,6.81,1.27
1822,19.96,17.74,18.6,564,4,10.51,9.66,1.44
3389,97.96,44.54,8.23,286,3,10.32,9.71,1.32
1859,5.75,84.83,22.13,791,4,10.61,5.26,0.78
6694,35.71,46.43,1.53,398,2,6.39,6.87,1.69
6426,56.96,25.18,19.13,430,4,5.63,3.07,2.0
9313,7.15,96.55,20.74,778,1,7.29,1.62,1.08
4901,46.72,24.28,30.35,566,1,5.22,6.21,2.43
1329,80.2,16.88,13.78,357,2,15.0,5.51,1.37
5893,5.56,9.92,16.55,541,4,18.66,6.48,2.24
9457,73.76,78.51,31.97,632,1,17.55,8.54,1.51
8811,67.27,81.34,15.57,511,2,4.47,6.52,1.24
5996,83.2,99.39,41.04,704,4,10.29,2.86,1.9
9896,31.18,82.45,26.84,763,2,11.38,4.79,0.6
3208,14.75,94.72,1.7,567,1,17.73,9.58,0.71
8374,87.4,52.2,34.7,591,4,11.32,8.7,1.07
8197,59.81,16.88,8.39,376,4,15.28,6.35,1.27
5329,75.1,32.74,35.11,615,4,2.72,1.8,0.93
6604,64.11,16.96,32.36,627,4,16.23,7.29,0.54
3590,53.36,44.44,3.18,370,1,17.69,2.46,1.5
7637,45.99,64.62,34.24,741,4,6.25,4.7,1.08
7181,47.15,89.14,35.95,745,4,5.61,5.83,1.96
7125,39.55,76.6,1.95,439,4,5.91,7.69,1.57
1475,52.83,51.88,33.7,694,1,18.79,9.89,1.47
8787,30.5,6.52,0.77,389,2,5.78,1.32,0.5
3183,35.94,59.72,1.42,424,4,1.69,2.24,1.39
6023,39.58,96.75,28.55,768,4,0.8,8.78,0.52
1094,63.41,80.22,8.63,424,2,19.07,9.81,1.76
2665,55.48,91.77,43.56,859,1,18.98,7.32,0.95
1192,21.94,79.81,8.27,574,3,17.25,7.42,1.07
6464,18.91,81.22,44.08,945,4,18.82,7.77,1.11
5362,30.45,83.49,31.71,796,3,19.49,5.71,0.8
8316,94.89,95.93,0.49,285,3,17.63,3.59,1.59
4551,28.61,20.57,33.41,747,3,13.56,4.53,0.84
1501,56.6,74.65,19.71,556,3,1.38,9.84,1.44
8575,69.05,98.26,34.23,687,4,3.66,1.69,1.78
6917,57.76,14.38,47.58,708,3,18.27,2.14,2.42
4089,86.98,99.7,28.48,632,3,13.7,6.82,1.07
7831,17.85,33.73,38.07,805,2,1.02,4.77,1.14
6008,66.15,62.33,20.96,486,4,6.74,4.91,2.33
1796,98.31,73.42,34.95,589,4,6.55,6.45,1.56
5159,26.71,92.77,25.59,782,1,5.48,4.57,0.63
4616,59.98,31.9,20.82,483,4,1.28,9.99,1.35
8806,18.66,68.96,34.87,840,3,7.94,8.3,1.21
1085,10.34,79.9,39.22,884,3,6.01,6.42,2.24
3963,67.78,12.36,27.11,549,4,9.2,6.55,0.75
4678,91.67,28.58,41.94,646,2,6.54,8.36,0.6
5103,92.13,20.99,37.61,590,1,8.12,9.12,0.71
9387,74.66,35.78,32.84,635,3,12.18,4.15,0.81
6497,20.21,40.33,39.21,823,1,6.36,1.59,1.56
7653,33.19,69.6,45.56,933,4,15.88,2.57,0.67
8137,27.64,10.82,0.64,320,2,18.42,7.79,2.46
2821,38.45,61.79,14.08,581,1,4.44,6.38,0.6
6756,7.71,6.93,4.58,492,4,7.01,6.66,0.77
1713,47.91,15.15,41.52,698,3,8.81,2.47,1.89
4791,54.21,87.27,29.81,693,1,18.21,6.3,1.56
9395,65.24,51.47,42.84,790,4,7.52,7.53,0.69
3190,98.93,17.73,11.91,266,4,10.92,5.11,1.88
8900,14.33,16.42,4.13,425,2,11.54,7.03,1.66
8747,21.31,95.62,19.8,737,4,8.14,2.54,0.84
9743,84.78,63.54,22.38,460,2,18.27,1.63,2.23
5451,6.74,35.95,3.01,472,3,0.6,2.55,1.94
2084,48.49,72.06,41.69,783,4,7.6,3.33,1.79
5780,86.72,24.43,5.07,297,1,4.05,8.42,1.17
9197,46.2,33.05,4.2,346,3,3.95,8.26,1.88
7558,87.55,41.9,42.81,645,1,19.21,2.5,1.44
8864,36.88,56.75,8.1,525,3,17.34,1.85,0.65
4700,13.69,94.73,16.66,740,4,15.05,8.06,0.96
8686,70.89,39.25,33.43,625,2,6.12,1.53,0.94
6347,68.22,58.49,12.7,398,1,7.66,3.95,2.18
1785,58.42,99.74,4.65,491,1,18.81,6.94,0.8
6845,69.99,22.47,37.0,611,4,8.9,7.84,1.64
5619,10.85,24.27,24.91,655,1,1.0,5.07,1.89
5797,73.47,9.1,3.66,293,3,12.36,7.55,0.84
1207,20.47,22.32,36.93,742,2,17.0,4.24,2.04
4190,23.02,13.7,46.18,891,4,5.63,1.58,0.64
5463,7.51,92.41,26.17,827,4,9.79,3.49,1.26
6487,30.99,70.53,29.58,696,4,4.39,1.91,2.3
9059,58.85,52.72,1.66,386,1,13.85,9.01,0.72
4800,25.55,43.17,41.15,866,2,2.43,2.15,0.7
7232,26.86,49.94,42.76,851,4,15.5,2.16,1.5
8250,72.88,38.11,13.55,379,2,17.85,6.87,1.9
7801,75.29,45.8,15.12,433,4,13.88,7.2,1.22
5523,34.72,51.29,22.43,595,3,11.75,7.75,2.28
7913,81.92,23.8,39.89,633,1,1.18,5.35,1.41
6967,19.75,50.9,33.58,749,4,8.15,4.58,1.76
6091,9.14,43.82,23.34,726,2,2.44,9.06,0.91
5047,31.45,32.45,40.18,762,2,1.5,5.71,1.73
5186,64.11,24.81,10.14,367,4,5.55,6.67,1.52
9589,9.95,22.12,15.07,546,1,16.51,1.32,2.24
5789,37.82,52.74,48.46,888,4,7.1,2.11,1.36
1526,87.82,37.74,0.61,206,2,4.79,4.32,1.84
7518,92.83,23.95,17.97,386,2,7.32,5.62,0.63
9016,64.14,95.07,23.82,574,3,4.16,1.79,2.09
8528,47.84,74.6,18.49,611,3,18.06,6.14,1.01
4335,89.68,91.22,8.24,345,2,13.48,2.68,1.55
4817,73.72,90.61,8.71,438,2,18.11,2.56,1.51
8298,64.78,86.84,28.02,610,2,5.88,9.76,2.22
5305,77.42,97.66,48.77,875,1,14.03,6.5,0.79
5385,33.27,83.31,25.65,745,1,6.77,7.3,0.68
6494,98.0,75.03,37.5,571,3,2.51,5.94,2.02
4916,32.91,47.44,6.86,449,2,0.72,8.65,1.91
8471,31.55,16.67,19.71,530,1,13.62,1.28,2.2
9540,69.74,70.2,2.09,347,2,4.02,5.37,1.58
3143,38.1,37.42,46.1,847,1,17.3,6.11,0.97
3052,9.65,72.8,11.2,580,4,0.36,2.53,2.25
3232,91.15,97.7,29.75,569,4,5.8,7.26,1.92
6876,81.62,61.4,6.76,351,3,7.56,8.1,1.1
7151,36.31,86.86,25.57,723,3,15.83,6.24,1.27
4926,99.36,28.42,20.42,395,1,1.42,7.07,0.82
3356,54.12,45.86,20.35,483,4,18.69,6.42,2.35
8601,95.36,21.2,34.81,539,2,2.97,5.68,0.86
5367,96.99,70.21,47.29,721,1,4.8,1.76,1.01
7370,41.31,50.05,0.14,424,3,6.29,3.84,0.6
7468,57.89,68.01,28.04,677,2,3.41,1.98,0.86
9294,74.68,86.68,36.71,694,4,11.5,9.19,1.54
4408,17.7,96.97,40.0,856,1,5.4,5.37,2.41
3199,66.07,76.09,1.92,349,4,4.18,5.77,1.88
7400,13.68,28.3,24.08,653,3,7.9,5.19,2.12
6421,23.78,58.64,39.6,791,2,0.61,7.49,2.3
1241,78.12,13.77,35.12,574,4,12.63,1.53,1.16
7449,56.06,90.86,5.27,459,4,14.71,6.83,1.32
5945,67.4,46.56,47.0,758,2,14.78,5.52,1.9
8682,91.71,28.46,13.82,345,1,9.45,7.42,1.1
4901,81.61,52.67,7.23,316,3,14.57,9.39,1.53
3055,83.37,6.68,17.72,318,2,11.06,6.66,2.49
4008,85.02,34.16,11.05,324,4,8.0,6.74,1.81
6442,20.81,77.19,25.15,687,3,2.18,4.57,2.34
1687,60.34,24.11,42.22,675,2,8.76,6.2,1.92
2796,53.48,75.46,4.39,392,2,7.2,2.74,2.29
3748,92.81,16.29,29.55,499,4,2.27,1.39,0.94
9467,26.45,90.1,13.73,571,4,18.63,4.25,2.27
2934,56.15,40.11,29.41,644,1,15.89,1.19,0.83
5972,93.55,11.25,37.04,491,4,12.93,5.73,2.04
9629,86.79,49.34,29.67,573,2,1.09,6.5,0.87
9382,63.0,67.06,6.63,415,4,16.06,3.05,1.2
6720,96.03,59.17,39.76,624,3,5.11,8.46,1.39
2422,94.23,34.98,23.41,418,2,8.82,1.38,1.7
5698,92.12,61.96,44.96,664,4,17.06,2.92,2.04
4625,11.48,63.27,49.57,1036,2,1.37,5.68,0.58
5905,5.1,32.6,36.43,817,2,9.13,3.86,1.72
3513,67.03,95.13,17.21,524,1,6.03,7.85,1.76
5939,76.77,61.18,36.91,623,3,1.92,6.78,2.3
2397,85.71,38.64,24.6,495,3,12.7,6.21,1.1
9363,15.27,63.59,11.75,570,2,7.93,6.3,1.85
7980,86.35,64.87,47.52,737,3,13.38,3.51,1.49
3496,96.31,98.82,27.46,602,3,3.16,3.81,0.59
2729,68.07,76.83,47.3,803,1,7.21,9.08,1.72
3731,68.79,40.01,25.75,559,1,8.77,2.38,0.96
6365,98.31,90.67,23.8,483,1,1.96,3.9,1.84
2168,78.34,95.68,43.82,741,1,19.91,6.9,2.5
9209,69.77,8.92,43.39,715,4,12.38,9.51,0.63
6603,37.56,16.26,17.0,484,3,6.21,3.6,1.8
2583,76.7,43.43,0.32,260,1,7.93,4.09,1.66
6454,86.71,82.85,40.78,649,1,0.58,6.1,2.48
5768,66.74,17.26,42.66,730,4,2.41,2.0,0.51
5213,57.96,19.54,43.63,669,1,1.39,6.69,2.47
6251,46.52,93.85,8.85,509,2,18.75,8.97,1.85
8497,66.14,49.2,9.07,370,3,5.96,7.87,1.98
8082,6.17,34.24,38.95,832,2,7.22,8.42,1.78
7511,95.96,73.38,6.34,370,2,1.94,9.74,0.52
8444,40.05,33.94,0.18,379,2,14.95,9.3,1.1
2158,32.58,50.17,32.01,713,4,17.8,9.16,1.7
7019,51.79,91.23,23.42,651,4,9.02,6.79,1.34
3210,24.24,44.71,21.53,653,2,4.18,1.07,1.11
3055,96.52,21.22,37.03,489,3,2.29,7.28,2.46
6502,14.54,32.01,17.63,575,1,7.93,8.46,1.99
3362,42.19,27.67,22.2,544,4,15.57,3.08,1.7
2575,90.01,70.31,9.03,306,1,5.06,2.95,2.19
2010,22.03,51.18,9.51,469,4,0.4,5.59,2.44
1220,50.39,60.16,38.62,708,4,8.81,5.7,2.15
9296,62.51,78.63,17.61,564,1,4.22,1.77,0.8
6774,7.62,60.06,2.86,521,1,2.85,3.71,1.5
2970,32.24,92.41,18.56,659,1,16.05,9.8,1.31
2917,46.32,76.68,1.9,402,2,4.5,6.57,1.38
8191,67.6,80.45,38.95,714,4,10.41,3.83,2.18
8962,29.55,90.52,11.72,597,2,14.08,5.43,1.56
9482,21.42,59.65,30.91,771,4,5.8,7.4,1.34
7249,87.07,28.28,36.33,634,4,6.13,9.22,0.58
4208,6.4,64.13,20.79,663,4,7.1,1.13,2.24
2501,78.53,73.91,39.34,737,3,0.1,8.16,1.01
9846,81.25,98.09,27.74,618,3,11.62,2.72,1.05
1841,66.11,33.42,40.52,649,3,7.07,3.44,2.19
4725,40.66,91.72,18.27,612,2,11.77,1.64,1.46
4958,91.52,70.95,37.33,607,2,3.43,9.12,1.96
8431,33.24,78.64,6.31,526,4,15.74,6.87,1.18
8876,18.85,65.97,33.52,803,4,7.37,2.5,1.46
3245,35.12,7.3,22.89,614,2,15.71,1.92,0.54
4995,98.05,53.03,32.06,570,4,16.06,8.11,0.72
7984,34.86,73.19,20.49,657,4,19.06,1.39,0.94
1800,31.85,33.55,16.93,554,1,16.62,2.33,1.28
1385,25.94,73.73,24.55,666,4,13.56,5.39,2.39
6322,93.34,80.26,48.07,761,4,6.27,3.91,1.07
4658,28.55,87.46,11.01,590,4,15.01,9.15,1.49
8360,90.61,88.49,12.9,439,4,19.47,3.52,1.25
8751,87.17,37.02,43.13,673,4,5.75,8.53,0.7
9498,32.78,28.8,29.0,644,3,3.6,5.79,2.04
9925,17.15,63.03,16.05,663,4,14.23,7.78,1.21
2968,65.28,97.16,30.06,675,1,14.39,8.78,1.56
1174,10.37,69.83,35.02,815,2,15.17,5.34,2.29
1411,35.7,15.79,35.46,688,2,3.93,1.09,1.87
7155,25.2,72.15,19.71,661,4,9.9,9.53,1.31
3133,90.12,79.31,41.19,710,3,1.12,4.6,1.04
3582,63.63,45.57,21.31,503,3,2.11,6.5,1.47
9331,92.69,30.09,42.99,578,4,6.24,8.97,2.39
1261,54.13,63.74,17.0,500,4,0.42,3.75,2.16
1768,19.4,12.99,32.21,700,3,9.31,4.11,1.76
8038,18.36,14.39,49.52,880,3,13.9,6.32,1.84
8467,77.9,38.48,1.82,267,1,12.84,3.37,1.34
3538,28.35,39.98,8.15,427,3,14.49,8.66,2.47
7416,7.24,74.96,39.7,974,3,4.8,5.49,0.64
1547,5.68,9.08,34.33,740,4,19.62,7.12,1.96
5650,65.65,96.14,34.06,719,4,16.32,5.43,1.41
7592,78.12,67.32,45.57,728,3,13.09,9.19,1.86
3448,92.47,47.68,12.94,358,3,0.31,5.54,1.13
7522,15.43,57.7,37.81,814,2,17.58,9.49,2.41
9567,78.96,36.28,46.68,730,2,3.67,7.78,0.97
9896,46.19,29.99,18.35,539,2,19.31,9.73,0.78
3898,80.33,5.29,10.77,294,3,15.39,1.63,1.51
7558,45.15,16.99,12.71,376,3,7.02,4.85,2.41
8519,96.58,65.75,9.14,309,3,10.71,1.11,1.68
5299,75.64,65.53,33.94,663,4,2.79,3.45,0.76
1173,64.74,12.11,30.76,570,1,10.4,3.98,1.35
3043,67.33,18.87,44.91,699,2,0.61,3.54,1.38
7775,77.96,87.19,31.03,651,2,4.66,6.88,1.3
4583,57.07,88.57,17.99,612,3,18.55,2.17,0.87
5544,20.47,82.46,25.28,723,4,7.03,4.17,1.99
3069,87.03,33.36,29.2,505,1,6.56,4.85,1.47
4777,68.02,9.09,16.02,380,4,10.25,1.47,1.81
8597,19.33,65.9,21.45,628,2,1.22,1.44,2.24
3262,13.22,57.81,17.19,609,1,10.12,9.5,2.16
4208,77.25,37.49,38.04,619,1,6.05,8.05,1.53
8995,76.13,9.82,1.0,264,4,11.59,1.69,0.77
7164,42.63,18.39,43.76,799,2,7.21,5.83,1.28
1106,76.76,30.97,31.63,565,4,17.53,3.5,1.44
9704,91.76,9.53,45.71,598,2,6.76,8.55,1.56
3395,5.14,97.69,7.22,597,3,19.37,5.48,2.04
1714,36.76,18.2,38.72,739,4,15.59,5.43,1.31
3596,69.21,19.53,37.76,613,3,0.88,2.23,1.74
9599,48.63,75.7,3.63,448,2,11.1,9.53,0.97
7823,41.34,76.71,30.58,681,3,5.86,7.33,2.36
1171,43.07,41.05,43.78,768,4,7.92,4.55,1.79
6818,5.93,8.09,35.42,767,1,11.41,1.89,1.43
5688,62.15,79.93,32.41,662,3,13.6,3.78,2.04
3945,87.73,61.44,49.73,707,2,16.5,4.74,2.17
6291,12.0,57.48,0.7,524,2,2.82,1.12,0.77
2355,23.14,28.83,8.85,497,4,16.01,8.85,1.02
1361,44.26,32.06,17.41,537,2,9.28,5.16,1.4
3114,68.11,41.93,31.4,602,1,14.27,1.72,1.25
4768,27.83,38.48,42.26,798,1,7.04,6.41,1.92
5467,39.12,56.22,38.2,809,4,15.47,5.51,0.86
6096,17.9,56.76,24.22,726,4,8.08,4.84,0.83
4985,79.32,26.95,11.71,318,4,13.93,1.18,2.04
7360,5.23,87.2,8.18,606,2,8.11,2.13,1.93
3778,88.73,58.43,37.49,634,1,8.98,8.71,1.43
4273,46.77,6.37,46.44,721,2,9.95,7.7,2.41
2195,45.68,65.8,46.96,862,1,17.74,8.66,1.35
1833,67.01,79.51,36.74,672,1,5.26,5.85,2.24
9892,94.88,51.55,42.2,622,1,9.63,4.28,2.31
8259,36.73,87.56,22.38,631,2,4.68,6.44,2.45
8099,71.56,89.29,38.26,676,4,8.81,8.13,2.33
3838,41.79,40.9,43.3,814,4,4.91,4.54,1.11
5719,27.07,79.81,3.78,496,3,19.73,7.59,1.53
9899,87.72,33.89,31.28,524,3,1.18,5.26,1.5
8701,74.55,86.37,33.16,650,2,7.15,9.36,1.5
5429,32.04,80.0,37.83,847,1,5.97,6.76,1.02
3236,14.28,13.58,30.51,729,2,8.11,2.92,1.43
2191,11.95,52.3,46.65,945,4,19.0,5.22,1.39
1612,62.07,82.38,35.7,650,1,0.92,4.19,2.38
4067,36.69,96.9,19.29,634,2,17.86,9.99,2.12
8088,69.44,67.72,48.28,854,3,10.61,1.79,0.65
4422,13.81,71.54,7.87,517,4,12.21,2.15,2.47
1395,79.4,13.71,33.04,564,4,12.51,3.82,1.1
8009,54.5,59.67,5.04,379,1,7.55,9.27,1.76
2851,89.69,23.84,38.28,617,3,7.57,8.26,0.55
9171,45.34,11.72,27.54,594,3,12.55,4.86,1.54
5765,86.77,23.0,2.36,172,1,9.34,9.83,2.45
3905,54.79,22.65,3.22,299,4,18.75,1.65,1.68
4009,34.27,46.33,39.11,810,3,11.01,7.13,0.93
7044,93.02,26.49,4.67,260,2,15.48,2.84,0.92
3226,79.88,19.98,5.3,299,3,18.56,6.81,1.11
7510,54.81,81.05,38.42,716,4,5.67,7.42,2.49
4412,88.73,91.77,23.22,573,4,3.0,6.35,0.51
1454,81.39,35.18,0.53,241,2,16.19,2.49,1.65
2401,95.31,81.78,28.7,590,1,18.83,3.92,0.68
4829,18.7,97.81,5.05,525,1,19.23,3.69,2.16
9919,33.31,75.34,20.41,670,1,7.47,1.1,1.16
1210,91.47,15.18,23.17,451,2,14.8,2.93,0.6
1942,53.2,22.81,4.43,375,4,7.32,1.31,0.87
3016,76.81,63.03,9.87,357,2,4.88,9.41,2.15
9959,86.02,58.22,10.43,320,3,9.95,9.6,2.05
9605,71.83,93.47,29.83,650,4,12.1,8.99,1.34
8014,15.31,87.34,2.57,566,3,16.36,8.93,0.89
8942,92.57,11.84,44.93,621,3,12.38,7.64,1.32
4360,66.04,10.93,2.51,254,2,16.2,8.69,2.04
4272,41.08,32.24,9.33,479,1,12.39,9.25,0.83
1016,84.32,43.99,12.27,340,2,13.95,7.37,2.07
1780,35.3,25.99,24.39,570,4,1.33,2.54,2.14
6814,83.68,86.97,31.57,589,1,18.9,8.01,2.32
3956,50.78,42.43,40.72,748,2,15.67,3.34,1.48
5782,25.53,19.32,15.39,559,2,19.25,7.25,0.94
6240,38.2,8.95,37.92,661,1,16.44,9.42,2.32
7502,80.04,95.53,32.79,607,3,17.9,1.45,2.28
3090,29.85,71.36,26.6,761,4,6.29,3.45,0.54
7341,92.64,58.68,15.36,384,2,18.45,6.25,1.58
7153,38.95,77.49,33.75,719,2,4.12,9.11,2.24
8990,68.4,5.76,9.75,304,1,10.19,5.8,2.16
3167,31.55,44.35,34.29,692,1,16.46,3.71,2.2
2639,67.65,48.94,3.69,373,3,6.05,5.37,0.6
2721,78.18,44.51,1.38,280,3,4.17,8.8,1.52
3431,95.4,32.78,9.03,287,4,11.1,5.14,1.37
3116,33.03,5.16,16.68,546,4,13.15,4.66,0.56
5685,35.39,35.66,40.44,825,3,4.56,4.02,0.57
1880,29.57,92.04,14.21,577,3,6.68,9.24,2.32
1592,73.66,6.94,48.82,662,3,8.97,9.26,1.99
1479,40.72,71.89,18.35,621,4,13.54,4.62,0.88
5342,33.65,75.25,33.51,819,3,17.0,9.62,0.87
4941,88.44,64.95,22.59,460,2,2.98,7.99,1.82
4774,7.12,15.28,47.66,852,1,18.77,9.4,2.45
8703,57.77,46.81,26.6,601,3,2.88,7.47,1.11
6589,56.66,83.41,8.26,496,3,15.18,9.07,0.81
6206,92.8,65.83,44.34,710,3,2.71,8.29,0.94
4811,26.18,20.63,2.43,365,3,10.49,9.09,2.33
7215,84.11,16.53,37.82,546,4,1.75,2.75,2.13
5372,25.91,54.68,21.77,690,4,12.5,7.39,0.78
