Product ID,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days)
1212,454,26,0,87,6/26/2024,1929,12
4083,896,23,0,166,9/15/2024,3169,4
6630,663,4,0,176,5/11/2024,4572,10
2954,941,5,0,80,3/31/2024,3029,12
3151,127,25,5,75,10/7/2024,4003,3
6675,432,20,0,84,10/24/2024,4866,14
5119,171,6,0,18,2/11/2024,4894,12
6302,563,22,0,125,10/29/2024,1128,12
2928,660,25,0,22,7/23/2024,3929,11
9342,781,23,0,47,7/21/2024,2590,13
2242,408,6,0,23,10/12/2024,4068,13
4208,279,3,0,106,8/22/2024,3633,6
4366,213,24,0,177,10/25/2024,4481,13
1056,507,10,0,146,12/21/2024,1045,6
7540,273,21,0,76,1/16/2024,2844,3
3444,548,12,0,125,8/30/2024,4198,7
1556,121,3,0,128,9/6/2024,1022,9
3216,705,27,0,198,7/12/2024,3038,14
7517,726,8,0,162,10/26/2024,1168,9
5500,551,1,0,127,5/20/2024,1620,3
9739,544,28,0,46,12/1/2024,3130,8
9965,886,22,0,145,3/1/2024,3891,7
9265,843,23,0,97,5/16/2024,4646,12
5520,649,12,0,58,9/22/2024,4649,11
7000,371,19,0,92,1/20/2024,1763,9
9358,937,4,0,191,12/22/2024,3698,4
6632,235,6,0,71,4/26/2024,3628,4
7455,44,16,11,72,8/8/2024,1545,2
8103,676,24,0,122,6/7/2024,1970,2
4677,934,24,0,60,2/24/2024,2271,12
8700,766,20,0,115,9/3/2024,3480,12
9646,424,10,0,121,3/29/2024,1240,12
2698,370,9,0,36,9/6/2024,3848,11
1729,211,17,0,94,5/23/2024,3682,13
3283,67,28,13,56,3/25/2024,4945,13
6468,823,29,0,39,2/18/2024,4140,6
4323,928,8,0,162,8/31/2024,2757,3
9818,627,24,0,24,5/27/2024,1486,1
3689,842,10,0,198,10/15/2024,4562,1
4997,722,3,0,192,9/7/2024,2122,2
6557,725,12,0,116,10/9/2024,2157,12
5407,744,7,0,19,4/19/2024,2985,2
7368,660,8,0,44,6/29/2024,3584,12
3955,852,24,0,120,4/16/2024,1558,9
3346,751,8,0,185,7/24/2024,4885,11
2415,420,13,0,15,2/18/2024,4470,11
1596,887,25,0,159,11/15/2024,1333,6
7844,714,24,0,28,1/30/2024,3435,13
1260,360,26,0,197,9/4/2024,4537,8
8886,483,12,0,189,4/30/2024,2801,5
9773,38,1,0,106,5/9/2024,2804,8
1628,208,24,0,92,12/17/2024,1187,7
3579,574,7,0,70,8/23/2024,2141,10
5046,224,9,0,18,10/8/2024,4822,6
5750,43,9,3,151,1/14/2024,3430,5
3383,287,27,0,43,1/28/2024,1370,1
7014,863,18,0,170,12/19/2024,2967,11
5254,161,8,0,23,12/6/2024,1391,12
8900,81,21,5,159,6/12/2024,4115,4
8704,560,8,0,128,3/18/2024,1682,5
6253,967,3,0,183,9/17/2024,3882,3
2874,562,6,0,50,7/24/2024,1231,13
8145,609,23,0,151,11/16/2024,1264,14
9866,676,15,0,150,9/24/2024,2939,8
2712,145,25,1,134,8/3/2024,3682,7
7087,425,15,0,145,11/10/2024,2853,5
8203,921,8,0,84,5/25/2024,2266,7
8366,385,6,0,20,1/4/2024,2982,10
5230,953,5,0,145,11/22/2024,1480,12
9864,923,16,0,68,12/26/2024,1615,2
7639,929,8,0,50,3/13/2024,4225,6
9145,38,9,8,33,10/14/2024,4172,11
5233,425,23,0,160,2/4/2024,2891,8
5870,563,28,0,159,9/23/2024,1371,9
9091,89,7,2,57,8/8/2024,2051,10
9937,364,2,0,125,3/17/2024,2043,7
6460,821,27,0,47,6/14/2024,4237,4
8775,795,11,0,61,8/13/2024,2631,4
4573,867,18,0,56,12/24/2024,2851,14
3221,313,18,0,29,6/8/2024,4429,12
9949,392,11,0,48,2/6/2024,1801,1
1556,805,10,0,86,10/6/2024,1768,10
4413,843,17,0,173,4/2/2024,3216,13
8965,902,1,0,22,8/6/2024,3697,14
9649,152,16,0,99,8/23/2024,4274,13
9881,928,16,0,61,8/24/2024,1479,5
4752,812,20,0,34,7/24/2024,4641,14
1343,62,18,10,23,11/5/2024,2184,4
4719,945,1,0,21,7/23/2024,4010,7
2319,411,1,0,53,8/24/2024,1748,6
2721,453,15,0,176,3/18/2024,3226,5
4739,578,29,0,158,6/28/2024,2377,9
4561,649,4,0,88,3/22/2024,2536,13
1817,956,5,0,20,9/26/2024,4564,2
5253,304,3,0,145,4/29/2024,2159,12
4385,390,21,0,85,11/28/2024,3710,2
4841,554,12,0,93,7/30/2024,4691,13
4950,174,15,0,56,1/21/2024,3369,6
8511,836,18,0,38,5/25/2024,2882,14
1127,878,9,0,79,3/17/2024,4314,10
7036,56,25,8,183,4/28/2024,3126,13
5057,874,29,0,130,7/22/2024,4198,6
8492,710,17,0,39,9/22/2024,4976,13
2400,477,29,0,166,10/17/2024,2407,5
7185,674,11,0,90,1/18/2024,1833,13
8624,809,6,0,116,9/12/2024,2282,12
2502,301,22,0,124,7/19/2024,4029,4
6766,351,28,0,121,10/4/2024,2660,5
9719,746,12,0,102,7/16/2024,3267,9
3880,87,10,0,195,4/27/2024,1079,9
4674,567,8,0,91,10/8/2024,1181,10
2026,904,14,0,88,4/5/2024,4349,12
8214,31,15,13,44,7/25/2024,1178,14
4584,75,29,8,192,7/21/2024,1339,4
2841,814,11,0,118,11/21/2024,4246,13
6495,608,16,0,137,5/4/2024,4974,5
3254,409,4,0,20,3/25/2024,3090,1
8260,653,28,0,81,1/22/2024,1436,10
8146,156,10,0,146,9/20/2024,4636,4
7460,715,3,0,27,3/17/2024,1673,1
9470,816,10,0,172,9/14/2024,4324,9
4703,382,10,0,134,10/28/2024,2282,1
6788,436,29,0,170,11/30/2024,2186,4
8657,140,5,0,150,6/1/2024,4039,14
4553,353,10,0,148,5/11/2024,3099,3
1118,159,27,3,82,8/24/2024,2909,3
8767,883,22,0,188,10/14/2024,3797,4
2351,89,7,2,65,7/17/2024,3844,12
3647,841,4,0,26,5/25/2024,2435,8
2148,326,20,0,91,12/15/2024,2339,14
5592,774,22,0,133,7/2/2024,4312,13
3231,697,9,0,164,7/23/2024,3572,9
6637,325,16,0,180,1/16/2024,4360,4
4692,932,13,0,93,4/27/2024,2402,3
1834,346,29,0,10,6/29/2024,2828,9
8563,716,21,0,63,9/25/2024,3383,10
9305,286,19,0,40,3/3/2024,2497,7
3749,990,10,0,196,12/12/2024,2651,3
3122,284,10,0,96,3/21/2024,3525,10
1084,405,11,0,167,4/29/2024,4296,6
5407,990,25,0,85,7/11/2024,4354,13
1772,101,13,0,140,3/17/2024,2887,9
4467,617,8,0,93,9/8/2024,3574,13
4478,931,4,0,142,3/27/2024,2252,7
6828,102,16,8,28,9/23/2024,1191,8
4715,843,24,0,85,6/5/2024,1027,7
8746,770,28,0,10,8/9/2024,4118,13
2538,524,29,0,110,4/30/2024,2554,12
1884,864,17,0,116,6/11/2024,2781,10
3460,934,6,0,171,9/14/2024,1246,2
9261,558,12,0,168,1/6/2024,4907,11
1898,140,8,0,71,7/18/2024,2111,4
7684,216,9,0,56,7/26/2024,1519,7
7765,978,13,0,181,1/2/2024,2386,14
2944,759,27,0,197,4/7/2024,4663,4
2013,38,6,4,107,11/12/2024,4005,12
8260,493,29,0,42,5/28/2024,3823,8
1764,879,20,0,131,8/9/2024,3879,13
3831,388,7,0,47,7/14/2024,4437,10
9108,667,3,0,192,12/30/2024,3513,2
9119,190,22,0,181,5/4/2024,3132,6
7202,244,8,0,27,7/31/2024,1504,3
2487,159,17,0,111,10/4/2024,3471,6
2795,653,19,0,165,11/19/2024,1590,5
1285,60,12,6,65,1/15/2024,4964,12
9717,192,4,0,189,2/28/2024,3654,11
8059,368,9,0,110,2/26/2024,1581,10
8647,895,28,0,148,10/1/2024,2660,3
8377,894,14,0,151,12/26/2024,2515,3
4127,508,26,0,186,7/6/2024,1530,1
8116,822,22,0,15,6/5/2024,4106,4
3000,475,12,0,23,11/23/2024,1420,9
9885,285,22,0,197,1/9/2024,1683,1
9404,722,3,0,129,2/22/2024,1329,3
2644,836,2,0,72,2/13/2024,3615,1
7433,432,10,0,191,3/5/2024,1163,9
9840,157,22,0,141,8/14/2024,1319,3
3807,707,19,0,154,4/9/2024,1620,10
7569,796,25,0,179,1/16/2024,2298,5
1558,901,4,0,100,9/22/2024,3184,4
1804,917,12,0,58,3/18/2024,4628,14
9300,773,16,0,168,3/25/2024,4963,7
4199,846,4,0,172,4/30/2024,2056,11
6105,307,27,0,95,9/26/2024,3789,1
8670,744,8,0,33,3/29/2024,2585,9
5998,69,12,1,137,6/26/2024,2853,12
7394,732,16,0,71,3/16/2024,3701,2
7881,666,26,0,11,9/15/2024,4294,6
3335,649,19,0,187,5/6/2024,4176,11
7412,855,16,0,21,1/13/2024,4988,13
2185,783,19,0,144,7/1/2024,2298,4
2177,387,3,0,53,11/2/2024,4313,14
7407,190,7,0,20,7/26/2024,3284,14
8222,635,10,0,151,12/23/2024,2734,3
1673,782,24,0,112,9/20/2024,4813,7
1959,917,18,0,15,8/26/2024,2925,3
2896,677,2,0,98,1/18/2024,4921,8
9763,11,7,7,90,10/16/2024,3719,14
7989,966,12,0,19,1/15/2024,1616,8
1841,190,26,2,22,2/28/2024,1441,5
6967,272,12,0,48,5/10/2024,2862,11
5913,833,14,0,18,11/16/2024,4991,12
7949,387,14,0,82,1/6/2024,2171,2
6456,706,13,0,176,12/23/2024,4517,14
8234,31,5,6,47,1/16/2024,2905,13
5426,41,2,0,198,7/28/2024,1021,11
5907,601,24,0,128,8/3/2024,1294,6
1290,338,5,0,64,1/18/2024,4634,12
7426,931,24,0,147,10/3/2024,2434,11
5600,135,6,0,84,6/3/2024,4721,7
3952,10,15,9,131,8/31/2024,4673,10
7956,798,12,0,117,7/31/2024,1078,4
2828,647,17,0,189,3/10/2024,4244,12
6760,575,29,0,41,10/7/2024,3749,1
3626,495,25,0,189,10/25/2024,2225,3
8131,134,4,0,182,6/17/2024,1833,10
5497,374,6,0,184,10/6/2024,4674,4
9633,189,1,0,21,3/17/2024,3903,14
1575,259,6,0,154,3/16/2024,2620,1
2148,216,11,0,13,8/2/2024,1367,10
2483,829,22,0,120,11/14/2024,4189,3
9007,430,17,0,60,4/9/2024,1747,4
8416,722,26,0,56,7/2/2024,2165,7
9259,803,16,0,102,11/28/2024,4293,10
5428,294,19,0,18,9/25/2024,1268,4
6642,61,16,3,164,4/6/2024,2765,3
8416,257,27,0,166,11/19/2024,3337,6
9512,650,13,0,159,6/25/2024,2112,14
8893,555,3,0,88,10/14/2024,4674,14
1374,387,29,0,58,12/22/2024,3645,7
2943,555,27,0,83,10/4/2024,4644,6
2261,743,20,0,168,1/14/2024,1477,7
1630,532,26,0,23,10/11/2024,1533,8
8567,645,19,0,144,6/29/2024,1370,2
1978,489,22,0,39,5/31/2024,1687,2
4451,39,9,6,100,7/8/2024,1863,11
3592,925,25,0,25,5/10/2024,4266,3
4014,272,12,0,180,5/13/2024,2138,14
1127,294,24,0,149,6/4/2024,3856,10
1327,912,8,0,40,10/11/2024,4570,13
2876,481,16,0,105,5/8/2024,3725,14
4132,395,21,0,97,10/22/2024,2348,6
8041,685,23,0,76,5/3/2024,2565,13
2610,877,24,0,164,12/23/2024,3252,5
4584,439,15,0,196,9/8/2024,1209,12
6726,401,7,0,127,11/30/2024,1537,9
5623,192,18,0,33,8/22/2024,4196,13
6098,674,16,0,150,1/2/2024,3994,2
9571,521,14,0,35,4/4/2024,2166,6
3658,220,4,0,149,11/6/2024,2323,4
1100,479,26,0,42,11/7/2024,3295,1
5383,920,3,0,129,9/12/2024,3481,14
3309,312,18,0,110,2/25/2024,4879,3
7984,664,4,0,48,12/25/2024,4559,9
1429,581,15,0,48,11/28/2024,1725,10
6673,323,26,0,180,11/21/2024,2048,4
8514,788,8,0,37,7/20/2024,4642,10
3764,996,1,0,52,4/1/2024,1754,6
3117,160,5,0,195,10/23/2024,2053,7
2570,237,10,0,171,12/28/2024,1306,13
6299,755,3,0,134,5/10/2024,3104,2
4205,726,11,0,68,5/8/2024,1588,7
8018,403,20,0,178,4/9/2024,2827,10
3531,998,14,0,161,11/14/2024,1003,1
3733,960,1,0,55,4/15/2024,1207,9
8113,125,15,0,91,3/19/2024,4163,2
8877,442,29,0,68,6/12/2024,1624,11
9088,307,8,0,31,9/9/2024,3762,6
7362,700,18,0,60,12/16/2024,2373,6
1705,394,24,0,128,3/10/2024,4922,11
4113,313,17,0,191,3/11/2024,4864,2
4680,498,15,0,148,1/9/2024,1216,3
3629,414,15,0,16,5/5/2024,2824,7
6948,665,27,0,23,12/1/2024,4203,13
1009,625,3,0,55,3/31/2024,4668,3
5005,101,29,10,87,12/9/2024,2548,10
4964,17,5,1,171,11/27/2024,4785,11
7504,923,29,0,190,1/13/2024,2669,7
4009,743,1,0,91,9/25/2024,3365,14
2406,969,12,0,95,3/2/2024,3461,4
2269,549,25,0,51,3/29/2024,3797,2
7233,995,29,0,77,9/10/2024,3217,14
3473,696,15,0,143,11/8/2024,2833,14
7675,390,18,0,17,11/14/2024,2947,9
8791,861,24,0,50,11/19/2024,3034,7
5705,149,22,0,182,3/17/2024,3711,5
7741,397,12,0,184,7/27/2024,1882,11
6663,809,2,0,136,6/5/2024,2786,1
2493,467,5,0,38,12/18/2024,3099,11
3952,48,6,4,59,10/10/2024,3725,14
2769,453,9,0,95,9/6/2024,1870,9
6955,977,26,0,24,12/11/2024,3119,4
5920,888,19,0,192,7/16/2024,2354,3
3866,712,20,0,190,9/28/2024,3545,3
5496,950,14,0,35,1/4/2024,4847,8
4495,702,16,0,84,1/12/2024,2818,13
8778,431,24,0,75,7/16/2024,3347,14
9715,893,29,0,22,5/25/2024,2149,8
5187,385,5,0,70,1/6/2024,4631,12
7848,408,29,0,55,3/5/2024,3466,14
1980,238,25,0,152,8/20/2024,2534,6
3519,578,11,0,106,7/21/2024,3250,1
3763,243,5,0,79,12/20/2024,3626,8
6792,59,12,4,108,8/21/2024,1913,8
6305,142,11,0,141,4/13/2024,3626,9
4591,911,14,0,99,2/17/2024,4175,2
4061,816,16,0,112,12/9/2024,4744,9
5091,282,19,0,110,12/27/2024,2606,13
1312,510,4,0,106,6/24/2024,3162,5
3498,227,1,0,120,5/8/2024,4881,9
3269,974,18,0,183,7/7/2024,2721,12
1648,1,6,6,87,4/19/2024,3859,13
9550,42,29,16,25,11/7/2024,4369,2
1399,809,18,0,168,4/7/2024,2056,14
5115,56,20,8,111,4/1/2024,2131,8
8374,116,18,0,120,3/15/2024,2889,4
1724,631,26,0,37,2/5/2024,4490,4
4390,362,9,0,121,8/2/2024,3921,1
4507,508,6,0,56,2/14/2024,2425,11
5617,807,26,0,195,11/20/2024,3533,9
8119,927,14,0,171,11/6/2024,1366,8
3471,726,2,0,148,3/4/2024,4604,8
5856,461,26,0,107,6/11/2024,3163,13
6886,830,16,0,38,10/2/2024,3290,11
6215,167,18,0,56,9/17/2024,1304,14
1971,654,28,0,142,4/13/2024,4904,3
3697,660,26,0,169,9/25/2024,1787,8
1978,557,6,0,195,4/26/2024,3725,1
9160,157,16,0,134,7/27/2024,2848,8
8187,392,1,0,90,5/31/2024,2190,3
1084,767,1,0,152,9/30/2024,4230,11
5467,159,3,0,28,3/9/2024,2392,9
6986,701,16,0,103,5/7/2024,3749,12
6415,76,11,0,142,5/9/2024,2865,6
1516,797,13,0,19,1/30/2024,3095,10
2359,253,27,0,121,10/2/2024,4266,13
8875,21,25,10,189,9/17/2024,1755,1
6437,418,18,0,111,8/29/2024,4708,4
1729,677,11,0,68,8/11/2024,3553,3
4831,735,20,0,174,3/10/2024,3317,4
2904,619,18,0,83,2/3/2024,2860,8
7155,892,5,0,139,2/19/2024,1158,11
4898,568,12,0,115,12/5/2024,2457,3
8940,581,5,0,183,4/2/2024,3647,8
5693,501,20,0,30,11/5/2024,3667,12
8996,615,28,0,140,9/24/2024,4353,6
7696,13,9,10,57,8/20/2024,2785,7
8154,31,16,14,18,8/9/2024,4593,9
9676,332,8,0,160,2/7/2024,4005,6
3693,693,12,0,36,9/2/2024,4920,10
5216,518,22,0,107,5/21/2024,1005,8
9524,265,5,0,148,7/18/2024,4109,13
7826,26,19,14,67,3/11/2024,1301,8
7530,266,29,0,198,11/8/2024,1349,3
6837,538,9,0,93,6/17/2024,3562,6
5012,422,13,0,115,8/22/2024,3106,4
7667,889,13,0,27,10/5/2024,3710,3
1381,865,20,0,21,10/22/2024,3083,11
8942,107,27,6,111,7/12/2024,4080,5
3938,886,11,0,169,8/16/2024,2325,3
3686,155,19,0,164,7/1/2024,4766,11
2916,460,28,0,100,10/4/2024,3110,13
9290,867,28,0,121,9/6/2024,4910,4
5274,193,25,0,112,7/2/2024,3397,14
6505,29,4,0,170,4/2/2024,3401,11
2939,127,14,1,52,12/23/2024,4295,10
7639,267,17,0,135,10/13/2024,4869,12
1188,688,9,0,194,8/17/2024,1068,13
4744,217,28,0,176,8/17/2024,3551,11
6337,298,9,0,40,5/3/2024,1520,7
4056,591,26,0,99,6/21/2024,2612,4
7196,101,13,0,155,7/16/2024,4084,2
1750,443,16,0,77,4/28/2024,3145,4
5311,691,8,0,186,6/28/2024,4055,6
4272,740,8,0,76,12/25/2024,4183,7
7813,661,5,0,146,9/27/2024,3920,13
3931,420,8,0,151,10/22/2024,3333,13
9102,494,6,0,98,5/11/2024,1474,7
7139,562,3,0,42,7/31/2024,3839,1
7364,486,3,0,77,8/20/2024,3734,5
2352,478,7,0,54,1/31/2024,2575,1
5838,487,9,0,189,9/5/2024,1880,7
5403,742,19,0,111,8/23/2024,3113,10
9526,462,17,0,21,5/2/2024,1250,3
4566,537,26,0,68,8/27/2024,4315,1
8301,730,9,0,130,1/13/2024,4036,8
1895,900,17,0,114,2/16/2024,1242,13
3518,355,9,0,166,9/11/2024,4171,10
5490,75,16,4,90,10/15/2024,4886,9
5416,316,14,0,131,2/11/2024,1414,1
5741,814,11,0,188,5/6/2024,1284,7
8207,302,22,0,185,7/13/2024,3085,8
5774,938,16,0,130,7/13/2024,1762,5
4197,322,16,0,19,4/6/2024,2218,4
9099,204,25,0,122,2/11/2024,4077,13
5655,192,10,0,47,6/10/2024,2075,5
6164,532,17,0,38,6/24/2024,3148,14
6186,711,26,0,102,5/7/2024,3928,1
2296,731,4,0,45,12/20/2024,3389,6
2081,615,29,0,199,11/1/2024,4427,11
2331,625,20,0,10,4/20/2024,3129,9
8031,383,14,0,21,10/25/2024,3522,5
3905,57,1,0,133,7/16/2024,2058,9
1594,848,24,0,137,2/16/2024,2155,4
9455,391,3,0,180,10/20/2024,3177,11
9313,627,6,0,117,2/7/2024,2801,14
6894,563,22,0,154,5/11/2024,2431,4
4800,297,28,0,117,5/23/2024,1654,13
3283,253,8,0,188,3/30/2024,2763,2
3063,213,15,0,62,6/5/2024,2136,2
1250,64,8,1,110,4/29/2024,3796,9
7724,735,16,0,167,3/27/2024,4594,10
8022,6,10,7,137,2/23/2024,3269,1
6266,337,3,0,138,2/15/2024,2385,12
5939,848,24,0,42,8/8/2024,1088,3
1662,57,7,5,46,10/19/2024,3638,13
9682,2,5,8,80,8/31/2024,3439,6
3145,639,24,0,117,3/5/2024,3261,1
8121,793,9,0,30,6/25/2024,1711,11
3871,349,26,0,161,11/9/2024,1632,12
6985,806,23,0,186,12/25/2024,1793,10
4975,989,5,0,123,9/12/2024,2042,12
6345,950,21,0,192,1/1/2024,2856,2
7684,152,9,0,60,12/23/2024,4811,2
5603,846,18,0,194,8/14/2024,4857,2
2544,173,14,0,84,1/18/2024,4128,1
3808,546,4,0,55,11/3/2024,1416,5
4566,876,7,0,83,12/24/2024,4924,12
5994,943,7,0,58,1/22/2024,3408,8
2516,405,14,0,55,2/5/2024,2902,14
4558,493,7,0,34,4/3/2024,1787,1
6759,656,24,0,161,12/10/2024,1629,3
4255,485,28,0,97,7/27/2024,1837,4
9071,794,2,0,126,2/1/2024,3469,1
3654,995,25,0,153,5/27/2024,4308,5
7151,988,23,0,58,2/11/2024,3089,8
3740,638,26,0,188,4/18/2024,3233,7
1978,566,27,0,49,12/23/2024,4361,12
2210,905,23,0,187,5/20/2024,2384,10
9325,977,16,0,114,2/11/2024,1234,8
5736,765,22,0,67,2/2/2024,3468,4
3643,522,29,0,111,10/6/2024,3750,6
2222,353,8,0,172,1/1/2024,4831,8
6755,985,13,0,181,12/28/2024,4424,6
7875,790,6,0,178,6/19/2024,2431,2
5530,972,19,0,42,8/2/2024,3908,12
2814,658,24,0,123,11/26/2024,4353,10
6551,52,29,14,90,1/20/2024,1875,13
3825,422,13,0,135,4/24/2024,1522,14
2334,653,19,0,41,7/25/2024,1280,7
7542,89,14,2,99,10/29/2024,3399,10
8044,40,20,7,171,1/13/2024,4403,3
5162,10,21,17,63,11/23/2024,2997,6
6374,631,2,0,18,1/22/2024,3491,7
9796,397,23,0,145,5/28/2024,3327,9
6080,280,22,0,76,8/11/2024,2571,9
7020,34,21,16,60,12/6/2024,3314,6
2031,476,25,0,192,2/4/2024,4150,6
9249,652,20,0,136,9/7/2024,2013,9
6490,355,14,0,75,9/5/2024,4786,3
2058,463,21,0,122,11/5/2024,3849,1
2250,249,24,0,184,7/23/2024,3462,13
4028,416,5,0,144,7/17/2024,3109,11
8922,190,23,0,184,9/12/2024,3072,3
6900,734,20,0,164,8/16/2024,4520,8
5004,75,27,11,71,3/31/2024,1473,3
5180,956,10,0,190,10/5/2024,2835,7
4365,921,6,0,166,2/24/2024,2309,12
6927,725,15,0,173,10/1/2024,1537,2
7388,721,18,0,86,4/23/2024,4121,6
7711,650,19,0,98,5/5/2024,4702,6
2090,80,12,0,181,2/14/2024,3665,14
8735,794,1,0,40,8/16/2024,1947,11
2363,383,16,0,93,4/25/2024,4135,4
1568,765,26,0,157,7/12/2024,2399,1
9546,331,26,0,164,8/19/2024,2744,3
8102,710,20,0,182,11/19/2024,1307,1
5745,556,20,0,116,12/28/2024,1374,10
5913,298,20,0,69,1/28/2024,1685,2
4905,430,29,0,145,11/21/2024,3491,3
8993,403,9,0,99,9/13/2024,1066,3
1662,859,24,0,67,5/6/2024,1813,2
6473,591,10,0,31,7/17/2024,2927,1
3314,862,2,0,131,5/12/2024,1405,10
3781,585,23,0,161,4/5/2024,4597,13
6300,859,29,0,107,3/5/2024,1507,12
2633,687,24,0,139,1/12/2024,2847,6
7901,560,17,0,178,5/14/2024,2371,1
6265,16,20,12,114,1/5/2024,2811,4
9574,608,8,0,183,5/22/2024,1975,3
4324,895,19,0,56,3/28/2024,2509,7
7328,66,12,4,87,10/14/2024,2101,6
1422,922,13,0,108,2/18/2024,2811,3
4748,494,3,0,133,1/3/2024,1046,13
6341,104,23,9,73,7/9/2024,3839,4
4960,689,21,0,144,7/8/2024,1880,7
8179,999,14,0,99,1/27/2024,1890,11
6234,503,3,0,96,12/26/2024,4550,9
7839,475,12,0,88,8/25/2024,2086,11
8752,459,5,0,174,2/5/2024,3771,1
8006,35,9,6,103,12/6/2024,4509,3
9521,549,5,0,178,12/18/2024,1700,6
7421,676,14,0,79,7/29/2024,1264,3
1535,727,6,0,79,9/5/2024,4817,3
7403,813,3,0,126,4/6/2024,4523,1
8409,523,17,0,38,2/19/2024,4190,4
3195,244,24,0,185,12/19/2024,1514,14
1692,181,25,4,21,1/4/2024,1349,2
2652,379,18,0,127,9/29/2024,1557,13
2633,564,19,0,15,8/28/2024,2821,4
2269,985,12,0,112,3/28/2024,4242,14
4179,516,14,0,155,9/29/2024,3403,4
5931,137,28,0,180,12/30/2024,2143,1
2908,827,17,0,177,12/15/2024,2734,10
8137,768,24,0,144,9/16/2024,4613,9
4892,188,15,0,20,8/15/2024,3230,12
5783,241,16,0,31,4/11/2024,4471,5
3436,324,25,0,18,12/1/2024,3425,13
5236,355,3,0,137,1/5/2024,2864,4
2800,386,14,0,116,8/7/2024,2974,2
4077,64,11,6,31,10/7/2024,1163,8
6346,907,1,0,90,2/7/2024,3189,2
5568,0,15,16,12,1/30/2024,2918,7
1510,714,28,0,76,11/28/2024,4880,6
3007,754,1,0,186,4/23/2024,3582,7
1133,1,28,17,102,5/19/2024,4643,5
1491,719,14,0,48,11/3/2024,3444,12
3262,123,2,0,187,10/26/2024,3152,7
9309,301,28,0,110,2/11/2024,1073,6
8630,640,8,0,199,9/22/2024,2745,11
4499,729,25,0,175,3/22/2024,2136,9
9694,446,6,0,199,11/25/2024,2203,6
