Product ID,Date,Sales Quantity,Price,Promotions,Seasonality Factors,External Factors,Demand Trend,Customer Segments
3434,1/9/2024,197,80.07,Yes,Festival,Competitor Pricing,Stable,Budget
6711,4/30/2024,112,87.12,No,Holiday,,Stable,Regular
4183,3/26/2024,190,61.91,Yes,,,Decreasing,Premium
2355,3/10/2024,265,37.69,No,,,Increasing,Premium
8505,6/24/2024,156,50.79,No,Holiday,,Decreasing,Premium
4416,7/20/2024,295,22.44,No,Festival,Competitor Pricing,Increasing,Regular
1610,4/17/2024,236,71.72,Yes,,,Increasing,Budget
3220,10/9/2024,266,21.04,Yes,Festival,Economic Indicator,Decreasing,Premium
3598,6/20/2024,181,64.99,Yes,Holiday,Economic Indicator,Decreasing,Regular
6585,2/3/2024,240,53.47,No,,,Increasing,Regular
2063,6/1/2024,368,9.51,Yes,Holiday,Weather,Increasing,Budget
8166,7/21/2024,96,99.9,No,Holiday,Weather,Stable,Regular
8869,11/9/2024,147,99.77,Yes,,Competitor Pricing,Stable,Premium
3837,2/6/2024,288,53.24,Yes,Festival,,Increasing,Budget
6295,1/15/2024,286,12.37,Yes,Holiday,,Decreasing,Regular
6975,1/15/2024,57,99.71,No,Festival,,Decreasing,Regular
6352,11/23/2024,167,47.51,No,Holiday,Economic Indicator,Decreasing,Budget
6054,6/27/2024,294,47.81,Yes,Festival,Weather,Increasing,Budget
6039,4/28/2024,184,60.32,No,,Competitor Pricing,Stable,Regular
5877,2/1/2024,328,28.75,Yes,,Economic Indicator,Increasing,Regular
2226,5/1/2024,224,61.84,Yes,Holiday,Economic Indicator,Stable,Regular
3547,4/12/2024,274,11.63,No,Festival,Weather,Stable,Regular
5706,1/27/2024,307,17.78,Yes,Holiday,Economic Indicator,Stable,Regular
9139,12/7/2024,153,74.17,No,Holiday,Competitor Pricing,Stable,Premium
6000,5/29/2024,210,45.58,No,Holiday,Economic Indicator,Stable,Budget
3922,1/19/2024,350,19.76,Yes,Festival,Competitor Pricing,Increasing,Regular
2497,12/18/2024,241,28.44,No,,Weather,Stable,Regular
3166,11/3/2024,215,83.87,Yes,Holiday,,Increasing,Budget
4980,4/23/2024,332,27.8,Yes,Festival,Competitor Pricing,Increasing,Regular
1349,7/2/2024,293,47.31,Yes,,,Increasing,Budget
5085,6/11/2024,276,14.66,Yes,Holiday,Weather,Decreasing,Premium
4467,8/4/2024,229,39.67,Yes,Holiday,Competitor Pricing,Decreasing,Regular
8369,11/6/2024,154,53.85,No,Festival,Weather,Decreasing,Regular
3534,12/28/2024,135,66.83,No,,Competitor Pricing,Decreasing,Budget
8035,10/8/2024,250,5.4,No,Holiday,Weather,Decreasing,Budget
3698,2/5/2024,240,75.56,Yes,Festival,,Increasing,Premium
9641,10/13/2024,267,61.07,Yes,Festival,Weather,Increasing,Premium
4986,11/20/2024,151,69.69,No,Holiday,Weather,Stable,Premium
6598,3/8/2024,193,78.17,Yes,,Economic Indicator,Stable,Regular
2001,2/18/2024,232,14.12,No,Holiday,Weather,Decreasing,Regular
5810,3/5/2024,379,11.33,Yes,,Economic Indicator,Increasing,Regular
6898,7/9/2024,303,22.81,Yes,,Economic Indicator,Stable,Premium
1395,12/11/2024,214,23.41,No,Holiday,Competitor Pricing,Decreasing,Regular
3386,6/29/2024,379,5.3,Yes,,,Increasing,Budget
1912,7/9/2024,125,89.24,Yes,Festival,,Decreasing,Premium
4630,6/11/2024,188,83.42,Yes,,Weather,Stable,Budget
7059,8/20/2024,251,50.91,Yes,Holiday,Economic Indicator,Stable,Budget
4834,5/25/2024,154,79.6,Yes,Festival,,Decreasing,Regular
7099,12/5/2024,72,91.55,No,,,Decreasing,Budget
1879,8/27/2024,198,34.24,No,,Competitor Pricing,Decreasing,Budget
3015,3/7/2024,195,48.86,No,Holiday,Economic Indicator,Stable,Regular
7383,3/24/2024,329,6.57,No,,Economic Indicator,Increasing,Regular
3462,1/24/2024,215,72.78,Yes,,Competitor Pricing,Stable,Budget
8413,11/24/2024,207,23.76,No,Holiday,Weather,Decreasing,Premium
2296,4/16/2024,199,53.68,Yes,Holiday,Economic Indicator,Decreasing,Regular
6947,12/27/2024,298,21.1,No,Festival,Economic Indicator,Increasing,Premium
1835,3/19/2024,371,7.77,Yes,Holiday,Economic Indicator,Increasing,Regular
5021,7/12/2024,292,44.82,Yes,Festival,Economic Indicator,Increasing,Budget
7323,6/3/2024,211,24.62,No,Holiday,,Decreasing,Premium
4762,7/2/2024,55,99.58,No,Holiday,Weather,Decreasing,Budget
1155,10/18/2024,196,57.93,Yes,,Competitor Pricing,Decreasing,Budget
6215,7/2/2024,247,68.93,Yes,Festival,,Increasing,Regular
4711,11/24/2024,191,78.3,No,,Competitor Pricing,Increasing,Regular
1087,7/24/2024,344,21.0,Yes,Festival,,Increasing,Regular
7520,1/22/2024,83,87.55,No,Festival,Economic Indicator,Decreasing,Regular
2004,1/24/2024,191,56.15,No,Holiday,,Stable,Budget
9970,12/9/2024,193,75.01,Yes,Festival,Weather,Stable,Premium
2964,7/14/2024,193,78.71,Yes,Holiday,Economic Indicator,Stable,Premium
2222,3/8/2024,180,87.93,Yes,Festival,Competitor Pricing,Stable,Regular
1657,9/15/2024,326,7.67,Yes,Holiday,Economic Indicator,Stable,Premium
8799,3/10/2024,175,67.83,Yes,Holiday,Weather,Decreasing,Regular
1411,5/8/2024,248,31.16,Yes,Festival,Competitor Pricing,Decreasing,Regular
1486,3/29/2024,251,6.34,No,Holiday,Economic Indicator,Decreasing,Premium
6139,9/21/2024,139,97.02,No,Festival,Weather,Increasing,Budget
3151,8/27/2024,205,48.8,Yes,,Economic Indicator,Decreasing,Budget
9109,10/12/2024,259,41.31,No,Festival,Weather,Increasing,Premium
7227,10/26/2024,174,43.43,No,Festival,,Decreasing,Premium
9208,10/9/2024,258,21.46,No,,Weather,Stable,Premium
4667,7/28/2024,162,89.71,No,Festival,Weather,Increasing,Regular
7391,2/16/2024,202,66.88,No,Festival,Competitor Pricing,Increasing,Budget
3247,11/27/2024,244,48.35,No,Festival,Economic Indicator,Increasing,Premium
2899,12/30/2024,283,13.95,Yes,Festival,Competitor Pricing,Decreasing,Premium
4236,9/27/2024,131,62.32,No,Holiday,,Decreasing,Regular
5746,3/18/2024,156,96.23,No,,Competitor Pricing,Increasing,Regular
3269,10/23/2024,319,16.61,Yes,Festival,Competitor Pricing,Stable,Regular
7082,12/29/2024,172,60.72,No,Holiday,Competitor Pricing,Stable,Premium
4534,12/10/2024,149,56.8,No,Holiday,Weather,Decreasing,Regular
4714,9/17/2024,128,83.53,No,Holiday,Competitor Pricing,Stable,Regular
9538,5/7/2024,245,29.11,No,Festival,,Stable,Regular
1486,8/2/2024,183,61.0,No,Festival,,Stable,Premium
1789,10/23/2024,162,91.66,Yes,,Competitor Pricing,Stable,Budget
2612,2/10/2024,213,65.6,No,Holiday,Economic Indicator,Increasing,Regular
3371,7/26/2024,224,58.55,No,,Weather,Increasing,Regular
9739,10/15/2024,289,7.31,No,Holiday,Weather,Stable,Regular
8530,10/3/2024,145,61.87,No,,Competitor Pricing,Decreasing,Budget
8606,2/5/2024,223,82.4,Yes,Festival,,Increasing,Regular
4619,3/24/2024,181,77.24,No,Holiday,Weather,Increasing,Budget
2527,3/16/2024,258,18.3,No,Festival,Competitor Pricing,Stable,Premium
7282,12/14/2024,231,52.07,No,,Weather,Increasing,Regular
1096,3/16/2024,239,74.83,Yes,,Economic Indicator,Increasing,Premium
1954,1/2/2024,294,28.69,Yes,Festival,Weather,Stable,Budget
5443,4/25/2024,168,46.6,No,Festival,,Decreasing,Regular
6685,3/15/2024,332,30.89,Yes,,Competitor Pricing,Increasing,Regular
4691,5/2/2024,183,83.15,Yes,Holiday,,Stable,Regular
1879,3/16/2024,163,71.64,No,Holiday,Weather,Stable,Budget
9804,12/29/2024,290,24.03,No,,Economic Indicator,Increasing,Premium
6256,11/27/2024,208,77.57,Yes,Holiday,Economic Indicator,Stable,Regular
3183,10/11/2024,269,41.6,Yes,Festival,Economic Indicator,Stable,Premium
2452,11/11/2024,107,94.23,No,Holiday,,Stable,Budget
8463,1/1/2024,117,68.61,No,,Weather,Decreasing,Regular
5546,12/27/2024,241,35.28,Yes,Holiday,Competitor Pricing,Decreasing,Regular
1533,4/4/2024,249,44.52,No,Festival,Economic Indicator,Increasing,Budget
6657,8/4/2024,192,75.6,No,Festival,Competitor Pricing,Increasing,Regular
1847,12/5/2024,194,98.99,Yes,Holiday,Weather,Increasing,Premium
2749,5/21/2024,153,73.29,No,Holiday,,Stable,Regular
7683,6/1/2024,188,53.73,No,,Weather,Stable,Premium
3003,11/23/2024,206,43.18,No,,Weather,Stable,Budget
8921,3/27/2024,246,50.87,Yes,Holiday,Economic Indicator,Stable,Budget
9533,5/8/2024,246,73.76,Yes,Holiday,,Increasing,Budget
3945,10/27/2024,341,24.94,Yes,Festival,,Increasing,Budget
2131,10/18/2024,271,11.16,No,Festival,,Stable,Budget
5860,12/8/2024,172,44.38,No,Festival,Weather,Decreasing,Premium
1701,10/19/2024,207,26.99,No,Festival,,Decreasing,Regular
2259,7/9/2024,275,29.95,No,Festival,Competitor Pricing,Increasing,Premium
6089,4/17/2024,154,93.24,No,Holiday,,Increasing,Premium
9718,6/22/2024,116,71.65,No,,Weather,Decreasing,Budget
1719,7/23/2024,204,89.77,Yes,Festival,Competitor Pricing,Increasing,Regular
3187,4/30/2024,169,46.37,No,,Competitor Pricing,Decreasing,Budget
6892,11/2/2024,244,9.22,No,,Economic Indicator,Decreasing,Regular
5794,4/22/2024,118,98.56,Yes,Holiday,Weather,Decreasing,Premium
5670,6/11/2024,274,40.25,Yes,Holiday,Weather,Stable,Budget
5488,9/4/2024,297,22.68,Yes,Festival,Weather,Stable,Budget
8405,8/25/2024,147,93.87,No,,Weather,Increasing,Budget
9467,10/13/2024,201,30.73,No,,Weather,Decreasing,Budget
4633,8/20/2024,366,13.28,Yes,Festival,Competitor Pricing,Increasing,Regular
6260,7/19/2024,103,99.57,No,Holiday,Weather,Stable,Regular
3101,10/28/2024,275,42.08,No,Holiday,Competitor Pricing,Increasing,Regular
9934,10/5/2024,276,32.93,No,Holiday,Weather,Increasing,Premium
6168,8/15/2024,288,13.64,Yes,Holiday,,Decreasing,Budget
9104,9/1/2024,268,38.12,No,,,Increasing,Budget
5934,3/25/2024,296,23.34,No,Holiday,Economic Indicator,Increasing,Premium
2773,11/17/2024,256,20.76,No,Holiday,Weather,Stable,Regular
7224,10/22/2024,103,79.91,No,,Competitor Pricing,Decreasing,Budget
5052,6/23/2024,68,93.79,No,Holiday,Competitor Pricing,Decreasing,Regular
8803,2/2/2024,246,51.07,Yes,,Weather,Stable,Regular
1839,4/22/2024,287,9.9,Yes,Festival,,Decreasing,Premium
4002,2/23/2024,159,95.56,Yes,,Weather,Stable,Premium
9349,12/24/2024,170,50.31,No,,Economic Indicator,Decreasing,Budget
7102,7/23/2024,285,47.63,Yes,,Economic Indicator,Increasing,Premium
2081,2/24/2024,134,89.22,Yes,Festival,Competitor Pricing,Decreasing,Premium
2644,8/21/2024,192,29.84,No,Festival,Weather,Decreasing,Premium
9303,7/16/2024,203,47.22,No,,Competitor Pricing,Stable,Budget
9104,8/13/2024,221,67.18,Yes,,Weather,Stable,Budget
2179,8/14/2024,110,95.0,No,Festival,,Stable,Regular
5229,9/24/2024,221,36.53,No,Festival,Competitor Pricing,Stable,Regular
1745,12/10/2024,142,76.85,No,Festival,Economic Indicator,Stable,Budget
4513,5/7/2024,124,69.69,No,Festival,Weather,Decreasing,Budget
3560,8/10/2024,205,50.6,Yes,Festival,Competitor Pricing,Decreasing,Premium
5380,12/6/2024,280,15.07,Yes,,Weather,Decreasing,Premium
9745,11/9/2024,377,6.36,Yes,Festival,Competitor Pricing,Increasing,Budget
8493,4/1/2024,307,39.48,Yes,Festival,Economic Indicator,Increasing,Regular
4301,3/5/2024,266,42.03,No,Holiday,,Increasing,Budget
7895,2/12/2024,310,21.12,Yes,,Competitor Pricing,Stable,Budget
8985,11/18/2024,268,10.48,No,,Weather,Stable,Regular
7587,7/12/2024,203,53.54,Yes,Holiday,Weather,Decreasing,Premium
6953,12/26/2024,290,28.21,Yes,,,Stable,Premium
9969,1/6/2024,187,38.19,No,Holiday,Competitor Pricing,Decreasing,Regular
3352,2/25/2024,160,72.69,Yes,,,Decreasing,Budget
7875,3/8/2024,325,11.85,Yes,Holiday,Competitor Pricing,Stable,Budget
7812,3/30/2024,192,99.94,Yes,Festival,Competitor Pricing,Increasing,Budget
4069,7/11/2024,316,39.06,Yes,Festival,Weather,Increasing,Regular
9377,7/6/2024,138,57.98,No,Festival,Competitor Pricing,Decreasing,Premium
2504,1/12/2024,210,43.75,No,,,Stable,Premium
7957,8/21/2024,296,5.57,Yes,,Weather,Decreasing,Budget
8943,8/19/2024,132,86.95,Yes,,Weather,Decreasing,Budget
2641,3/15/2024,322,38.06,Yes,Holiday,,Increasing,Regular
7666,8/25/2024,276,32.67,No,,Competitor Pricing,Increasing,Budget
7309,11/14/2024,193,75.08,Yes,Holiday,Weather,Stable,Regular
1898,7/8/2024,167,68.35,No,Festival,Economic Indicator,Stable,Premium
1040,2/16/2024,218,26.04,No,Festival,,Decreasing,Premium
9317,6/18/2024,169,47.78,No,Holiday,Weather,Decreasing,Budget
7060,5/29/2024,279,11.58,Yes,Festival,,Decreasing,Budget
4115,8/20/2024,341,22.79,Yes,Festival,,Increasing,Budget
3672,7/19/2024,293,6.3,No,Holiday,,Stable,Premium
7223,11/12/2024,183,36.6,No,Holiday,Economic Indicator,Decreasing,Regular
5412,9/24/2024,345,23.34,Yes,Festival,Competitor Pricing,Increasing,Regular
6820,1/26/2024,293,30.18,Yes,,Economic Indicator,Stable,Budget
2528,2/8/2024,189,57.94,Yes,Holiday,Weather,Decreasing,Regular
6291,7/9/2024,309,15.27,No,Holiday,,Increasing,Budget
3851,11/25/2024,199,42.27,No,Holiday,Economic Indicator,Stable,Budget
9769,1/29/2024,80,87.42,No,Holiday,,Decreasing,Premium
8284,3/10/2024,229,34.43,No,Festival,Competitor Pricing,Stable,Regular
1235,10/20/2024,136,58.46,No,Festival,Competitor Pricing,Decreasing,Budget
9780,12/21/2024,268,24.99,Yes,Holiday,Economic Indicator,Decreasing,Budget
6431,4/29/2024,267,32.45,No,,,Increasing,Budget
1215,8/2/2024,218,84.82,Yes,Festival,Competitor Pricing,Increasing,Premium
3668,8/12/2024,267,36.8,No,Festival,Competitor Pricing,Increasing,Budget
2259,1/26/2024,273,21.66,Yes,,Economic Indicator,Decreasing,Budget
7109,12/4/2024,155,93.48,Yes,,Weather,Stable,Regular
5877,6/5/2024,285,55.2,Yes,Festival,Weather,Increasing,Regular
7279,10/4/2024,283,33.09,Yes,,Competitor Pricing,Stable,Budget
7711,9/3/2024,252,46.38,Yes,Holiday,,Stable,Regular
8958,8/30/2024,156,97.7,Yes,Festival,Competitor Pricing,Stable,Budget
2973,8/6/2024,293,8.96,Yes,Holiday,Competitor Pricing,Decreasing,Budget
9168,5/26/2024,106,95.31,No,,Competitor Pricing,Stable,Premium
2850,1/19/2024,135,82.54,No,Holiday,Economic Indicator,Stable,Regular
9558,1/26/2024,197,50.19,No,,Weather,Stable,Budget
4244,3/20/2024,88,86.14,No,,Competitor Pricing,Decreasing,Premium
9509,7/2/2024,129,66.98,No,Holiday,Competitor Pricing,Decreasing,Budget
7049,6/24/2024,296,25.7,No,,Competitor Pricing,Increasing,Premium
6203,9/1/2024,259,36.96,No,Holiday,Economic Indicator,Increasing,Premium
2240,2/2/2024,104,83.13,No,Holiday,,Decreasing,Premium
6702,11/12/2024,120,64.78,No,Holiday,Economic Indicator,Decreasing,Premium
4258,10/24/2024,140,99.25,No,,,Increasing,Premium
2098,8/2/2024,183,39.78,No,Holiday,Competitor Pricing,Decreasing,Budget
5844,9/20/2024,254,23.4,No,Festival,Economic Indicator,Stable,Premium
7146,7/15/2024,244,71.11,Yes,,Competitor Pricing,Increasing,Premium
3339,1/17/2024,231,53.97,No,Holiday,Economic Indicator,Increasing,Budget
6318,9/6/2024,184,81.57,Yes,Holiday,Economic Indicator,Stable,Regular
7384,3/18/2024,244,26.43,No,,Competitor Pricing,Stable,Budget
7548,6/11/2024,329,12.38,Yes,Festival,Economic Indicator,Stable,Budget
1647,1/27/2024,246,47.77,No,,,Increasing,Budget
8731,5/21/2024,228,39.25,Yes,Holiday,,Decreasing,Budget
7993,2/20/2024,260,46.85,Yes,Holiday,Competitor Pricing,Stable,Premium
9461,5/31/2024,121,94.84,Yes,Festival,Weather,Decreasing,Regular
4216,6/20/2024,144,79.94,No,Festival,Economic Indicator,Stable,Premium
5464,11/23/2024,377,7.88,Yes,,Competitor Pricing,Increasing,Regular
1193,11/18/2024,252,21.56,No,,Weather,Stable,Budget
6227,9/17/2024,126,85.23,No,Festival,,Stable,Premium
8029,10/3/2024,228,62.79,Yes,Festival,Economic Indicator,Stable,Regular
8676,1/19/2024,186,83.05,Yes,,,Stable,Premium
2186,12/18/2024,285,12.29,Yes,Festival,,Decreasing,Premium
8237,5/7/2024,240,30.29,No,Holiday,Competitor Pricing,Stable,Regular
3505,10/17/2024,195,80.68,Yes,,Economic Indicator,Stable,Regular
7286,8/8/2024,170,43.09,No,,,Decreasing,Premium
7658,10/11/2024,265,18.42,No,,,Stable,Premium
5716,2/19/2024,162,68.24,No,Holiday,Competitor Pricing,Stable,Regular
3105,4/29/2024,366,11.09,Yes,,Competitor Pricing,Increasing,Premium
7679,12/22/2024,224,60.64,No,Holiday,Competitor Pricing,Increasing,Premium
9230,9/18/2024,356,18.69,Yes,Festival,Competitor Pricing,Increasing,Regular
9527,10/2/2024,121,91.39,No,Festival,Economic Indicator,Stable,Budget
8584,1/18/2024,234,61.1,Yes,,Competitor Pricing,Stable,Regular
6417,9/2/2024,199,30.53,No,,,Decreasing,Budget
7060,12/20/2024,247,72.85,Yes,Holiday,,Increasing,Premium
3269,8/29/2024,244,46.9,No,,,Increasing,Regular
7626,6/20/2024,230,80.64,Yes,Festival,Competitor Pricing,Increasing,Regular
7529,7/4/2024,175,41.82,No,Holiday,Competitor Pricing,Decreasing,Budget
4472,11/15/2024,138,80.91,No,Festival,,Stable,Premium
5724,3/14/2024,269,61.56,Yes,Holiday,Competitor Pricing,Increasing,Budget
7232,7/30/2024,208,63.67,No,,Weather,Increasing,Premium
8029,10/3/2024,217,91.29,Yes,Festival,Economic Indicator,Increasing,Budget
5749,11/5/2024,250,22.2,No,,Competitor Pricing,Stable,Budget
1848,2/10/2024,258,42.55,Yes,Festival,,Stable,Regular
1631,1/21/2024,160,77.56,Yes,,,Decreasing,Premium
4633,3/15/2024,198,77.53,Yes,Festival,Competitor Pricing,Stable,Budget
4625,3/23/2024,190,61.09,Yes,Festival,,Decreasing,Budget
5959,7/7/2024,189,36.96,No,Holiday,Competitor Pricing,Decreasing,Regular
4460,5/6/2024,194,77.59,Yes,,Economic Indicator,Stable,Regular
3781,7/29/2024,261,22.21,Yes,,Weather,Decreasing,Budget
4280,12/6/2024,270,14.87,No,Holiday,Weather,Stable,Premium
6071,11/8/2024,225,40.32,Yes,,,Decreasing,Budget
5545,8/21/2024,162,96.24,Yes,Holiday,,Stable,Premium
1760,2/26/2024,211,23.94,No,Holiday,Economic Indicator,Decreasing,Regular
5296,1/3/2024,160,92.65,Yes,Holiday,Weather,Stable,Regular
5089,1/20/2024,208,89.84,Yes,,Weather,Increasing,Regular
2524,11/20/2024,285,13.09,Yes,Festival,,Decreasing,Premium
6505,6/7/2024,341,23.0,Yes,Holiday,,Increasing,Premium
8073,6/1/2024,289,28.21,Yes,Festival,,Stable,Premium
5979,11/6/2024,297,26.72,Yes,,Weather,Stable,Regular
6782,4/25/2024,242,9.21,No,,Economic Indicator,Decreasing,Budget
2458,2/8/2024,126,85.44,No,Holiday,Weather,Stable,Premium
6772,11/30/2024,274,36.37,Yes,,Competitor Pricing,Stable,Premium
4259,1/5/2024,287,31.67,Yes,Festival,Weather,Stable,Budget
7364,5/22/2024,150,95.89,Yes,,Economic Indicator,Stable,Premium
5942,6/5/2024,226,78.19,Yes,Holiday,Competitor Pricing,Increasing,Budget
5031,2/16/2024,290,27.84,Yes,,Weather,Stable,Budget
8514,10/7/2024,233,77.49,Yes,Festival,,Increasing,Premium
5159,5/10/2024,200,50.44,No,Holiday,Weather,Stable,Regular
2657,10/2/2024,197,79.74,Yes,Holiday,,Stable,Regular
4468,6/2/2024,275,14.59,No,Festival,Weather,Stable,Regular
1660,2/2/2024,311,38.76,Yes,Holiday,Weather,Increasing,Regular
3049,5/15/2024,285,12.36,Yes,,Economic Indicator,Decreasing,Premium
1762,12/16/2024,165,69.72,Yes,,,Decreasing,Budget
5209,6/30/2024,279,30.3,No,Festival,Economic Indicator,Increasing,Premium
1655,3/30/2024,231,53.39,No,Festival,Weather,Increasing,Budget
3104,12/2/2024,131,85.05,No,,,Stable,Premium
4591,11/7/2024,237,34.27,Yes,Holiday,Competitor Pricing,Decreasing,Premium
8245,7/7/2024,310,16.04,No,Festival,Weather,Increasing,Regular
3667,10/3/2024,209,94.13,Yes,,Weather,Increasing,Regular
7813,11/8/2024,194,97.35,Yes,Festival,Economic Indicator,Increasing,Premium
3029,12/10/2024,307,22.49,Yes,Holiday,,Stable,Regular
4712,9/1/2024,197,53.09,No,Festival,Economic Indicator,Stable,Premium
2876,9/12/2024,62,97.92,No,,Economic Indicator,Decreasing,Budget
6979,3/21/2024,302,19.27,No,,Weather,Increasing,Regular
9569,10/23/2024,251,29.32,Yes,Holiday,Competitor Pricing,Decreasing,Premium
2432,11/20/2024,328,11.22,Yes,Festival,Competitor Pricing,Stable,Regular
4529,4/28/2024,158,48.76,No,Festival,,Decreasing,Premium
5531,12/15/2024,198,95.61,Yes,Festival,,Increasing,Budget
1101,5/6/2024,154,94.08,No,,Weather,Increasing,Budget
3096,4/26/2024,377,9.8,Yes,Holiday,Economic Indicator,Increasing,Budget
4801,8/5/2024,254,69.92,Yes,Festival,,Increasing,Regular
8465,8/27/2024,156,97.09,No,Festival,Economic Indicator,Increasing,Premium
7536,4/18/2024,197,94.1,Yes,Holiday,,Increasing,Regular
3426,7/22/2024,202,95.84,Yes,,Economic Indicator,Increasing,Regular
6681,4/24/2024,213,43.49,No,Holiday,Competitor Pricing,Stable,Premium
